# Truth-backed musical beam evaluation for pdf-page-06.png.
# Source gray digest: 59316db1475cee44. Systems 1-3 are representative.
# Rectangles are inclusive x/y corridors around engraved primary beams.
# kind system x y width height
truth 1 328 190 163 29
truth 1 755 205 116 31
truth 1 1075 195 336 22
truth 1 525 342 161 37
truth 1 697 338 201 39
truth 1 902 343 161 35
truth 1 1074 335 362 44
truth 2 230 520 626 21
truth 2 1335 520 101 51
truth 2 230 646 281 33
truth 2 550 642 271 39
truth 2 875 640 131 38
truth 2 1013 635 150 46
truth 2 1158 660 128 41
truth 2 1292 650 124 41
truth 3 430 810 106 31
truth 3 752 810 84 29
truth 3 995 790 181 33
truth 3 1292 803 127 30
truth 3 230 960 126 38
truth 3 360 950 176 39
truth 3 575 950 261 43
truth 3 852 940 137 53
truth 3 994 932 172 47
truth 3 1160 945 126 34
truth 3 1290 932 151 47

# Frozen terminal REDUCTION survivors before the extension.
baseline 1 355 159 21 7
baseline 1 802 234 59 11
baseline 2 925 548 25 13
baseline 3 545 996 21 10
baseline 3 1370 833 41 9

# Frozen terminal survivors with high-precision beams enabled.
high_precision 1 389 205 37 8
high_precision 1 534 365 24 12
high_precision 1 561 361 27 12
high_precision 1 591 356 25 13
high_precision 1 619 353 30 12
high_precision 1 705 363 27 13
high_precision 1 910 365 27 12
high_precision 1 967 357 26 12
high_precision 1 1141 205 38 8
high_precision 1 1182 158 55 8
high_precision 1 1197 356 60 12
high_precision 1 1240 205 38 8
high_precision 1 1260 353 46 11
high_precision 1 1365 205 38 8
high_precision 2 238 531 55 8
high_precision 2 296 531 42 8
high_precision 2 319 531 53 8
high_precision 2 394 656 46 11
high_precision 2 607 662 40 11
high_precision 2 695 531 34 8
high_precision 2 711 655 40 11
high_precision 2 732 531 42 8
high_precision 2 883 660 42 16
high_precision 2 905 657 43 15
high_precision 2 929 653 42 15
high_precision 2 951 649 43 16
high_precision 2 1022 661 41 15
high_precision 2 1043 658 43 15
high_precision 2 1066 653 43 16
high_precision 2 1088 650 44 16
high_precision 2 1167 678 65 22
high_precision 2 1234 669 42 17
high_precision 2 1300 672 41 17
high_precision 2 1364 530 40 14
high_precision 3 545 996 21 10
high_precision 3 239 978 41 16
high_precision 3 260 975 43 15
high_precision 3 283 972 41 15
high_precision 3 305 969 41 15
high_precision 3 370 969 65 16
high_precision 3 461 959 64 16
high_precision 3 584 976 43 14
high_precision 3 607 972 41 15
high_precision 3 630 969 40 15
high_precision 3 719 965 41 12
high_precision 3 784 820 42 8
high_precision 3 884 963 31 15
high_precision 3 918 953 39 18
high_precision 3 939 949 40 17
high_precision 3 1004 960 40 15
high_precision 3 1025 955 52 16
high_precision 3 1044 804 32 9
high_precision 3 1080 754 31 13
high_precision 3 1080 950 31 13
high_precision 3 1171 962 39 13
high_precision 3 1191 959 41 14
high_precision 3 1213 956 40 14
high_precision 3 1234 953 41 14
high_precision 3 1300 961 36 15
high_precision 3 1319 955 50 18
