# Java Audiveris 5.11 (Temurin JDK 25) raw STEM_SEEDS candidates.
# Generated by StemSeedsProbe from HEADERS plus StemScaler; the probe
# reflectively calls VerticalsBuilder.retrieveCandidates() and never
# calls checkVerticals(), so these are StickFactory outputs, not seeds.
#
# stemseedinput section digests cover tag/id, position, bounds, weight,
# and every run in Java order. Candidate members retain the compound's
# mixed-orientation order; v/h tags disambiguate the two lag id spaces.
# All floating-point values are Double.toHexString exact encodings.
# Summary digests are FNV-1a-64 over exact record rows plus newline.
#
# Regenerate from the repository root:
#   env -u JAVA_TOOL_OPTIONS JAVA_HOME=/path/to/jdk25/Contents/Home \
#     ./gradlew --no-daemon -q \
#     -I rust/oracle/java/staff-impacts.init.gradle :app:stemSeedsProbe \
#     '-PstemSeedTargets=data/examples/chula.png:1 ...'
stemseedsheet chula.png#1 systems 3
stemseedinput chula.png#1 system 1 profile 1 left 201 right 2327 interline 21 maxStem 4 minCore 32 minSide 0x1.999999999999ap-2 vertical 1321 37f0ff76ff47862d stickers 642 ec0b76655c693264
stemseedcandidate chula.png#1 system 1 ordinal 0 members h1245,v2854,h1278,h1289,v2855,v2856,v2857,h900,v2858,h914,v2859,h971,v2860,v2861,v2862,h1030,h1035,h1043,h1050,h1063,h1075,v2863,h1091,h1098,v2864,v2865,v2866,v2867,v2869,v2870,h1022,h1024,h1036,h1044,h1053,h1064,h1069,h1076 bounds 1960 361 5 333 weight 1035 start 0x1.eaa0ae4cb96f3p10 0x1.69p8 stop 0x1.ea765a52f2b19p10 0x1.5a8p9 thickness 0x1.8dd67c8a60dd6p1 distance 0x1.e9a60b5bc88e5p-1
stemseedcandidate chula.png#1 system 1 ordinal 1 members v1523,v1524,h984,h988,v1525,v1526,v1527,h1023,h1029,h1070,h1080,v1528,v1529,v1532,v1533,h973,v1534,h982,h985,h1041,h1054,h1072,h1074,h1078,h1089,h1090,h1094 bounds 831 353 4 332 weight 1016 start 0x1.a047c32991bb7p9 0x1.61p8 stop 0x1.9ffc06c30bc6bp9 0x1.56p9 thickness 0x1.87b5f9d4d1bc2p1 distance 0x1.dc448af9e7734p-1
stemseedcandidate chula.png#1 system 1 ordinal 2 members v2373,v2374,v2375,v2376,v2381,v2384,h1287,v2385,v2390,v2391,h924,v2392,h991 bounds 1544 358 4 332 weight 1038 start 0x1.825706a8e8b3bp10 0x1.66p8 stop 0x1.82375e0257a13p10 0x1.588p9 thickness 0x1.903159721ed7ep1 distance 0x1.ce975ecdb9999p-1
stemseedcandidate chula.png#1 system 1 ordinal 3 members h1275,v2688,v2689,v2690,h1059,h1066,v2691,h1082,v2692,v2693,v2694,h891,h975,h980,h1067,h1071,h1086 bounds 1802 359 5 332 weight 1037 start 0x1.c312c9c995dfcp10 0x1.67p8 stop 0x1.c2f3f6090e6c7p10 0x1.59p9 thickness 0x1.8fcea68de1282p1 distance 0x1.ce3448fa9d9fcp-1
stemseedcandidate chula.png#1 system 1 ordinal 4 members h844,h868,h896,h908,h928,h1157,v1178,v1179,v1180,v1183,v1184,v1185,h1100,h1103,h1110,h1118,v1186,h1285,v1188 bounds 463 351 5 331 weight 984 start 0x1.d14d4e45bb22fp8 0x1.5fp8 stop 0x1.d026dec1d92ecp8 0x1.548p9 thickness 0x1.7c8506f5f2142p1 distance 0x1.bec87fc0b61cfp-1
stemseedcandidate chula.png#1 system 1 ordinal 5 members h1290,h847,v1897,v1898,h915,h925,v1899,h969,v1900,h990,h1134,h1150,v1901,v1902,v1907,v1909,v1912,v1913,v1914,h1088,h1096,h1102,h1114,v1915,h843,h848 bounds 1172 356 6 331 weight 1033 start 0x1.25c2227805d18p10 0x1.64p8 stop 0x1.258769e6d816p10 0x1.57p9 thickness 0x1.8f77e1103ddf8p1 distance 0x1.ea6c78de3df7dp-1
stemseedcandidate chula.png#1 system 1 ordinal 6 members h967,v2717,h1002,h1017,h1021,h1026,h1031,h1049,h1109,h1139,h1149,h1166,v2718,v2719,v2720,v2721,v2724,v2725,h1020,v2726,v2727,v2728,v2729,h1087,h1095,v2730 bounds 1827 360 5 332 weight 968 start 0x1.c95210dc3d5a5p10 0x1.68p8 stop 0x1.c8fc72a6bcb0dp10 0x1.598p9 thickness 0x1.75346f0940c56p1 distance 0x1.bcabdd55d6aa7p-1
stemseedcandidate chula.png#1 system 1 ordinal 7 members h1171,v3219,v3220,v3231,v3232,v3233,h920,h926,h941,v3234,h1073,h1077,h1083,h1084,v3235,v3240,v3242,h1237,v3243,h1271,v3244 bounds 2323 362 4 333 weight 928 start 0x1.22adf57cb99e9p11 0x1.6ap8 stop 0x1.229340215cadap11 0x1.5bp9 thickness 0x1.64b56def164b5p1 distance 0x1.c797c6b4818fbp-1
stemseedcandidate chula.png#1 system 1 ordinal 8 members h854,v2696,v2698 bounds 1811 360 2 175 weight 184 start 0x1.c4f7cd0c5549bp10 0x1.68p8 stop 0x1.c5023da2b1154p10 0x1.0bp9 thickness 0x1.0d2a6c405d9f7p0 distance 0x1.aeeb106c5f25bp-3
stemseedcandidate chula.png#1 system 1 ordinal 9 members h1241,v2697,v2701 bounds 1811 564 2 127 weight 158 start 0x1.c50b6e306e935p10 0x1.1ap9 stop 0x1.c4e1ae170b2ep10 0x1.59p9 thickness 0x1.3e7cf9f3e7cfap0 distance 0x1.60ac78b71fd01p-2
stemseedcandidate chula.png#1 system 1 ordinal 10 members v1215,v1218,v1219,v1221,v1226,h1183,h1195,v1227 bounds 496 566 4 116 weight 274 start 0x1.f28fd9657deaap8 0x1.1bp9 stop 0x1.f127887e2372ep8 0x1.548p9 thickness 0x1.2e58469ee5847p1 distance 0x1.664b11dd9276cp-1
